alpha,gamma,half_life_days,status,recovery_holds,relapse_holds,reversal_holds,parameter_status
0.25,0.1,6.578813478960583,scenario_parameter_not_estimate,False,True,False,"scenario input, not estimate"
0.25,0.25,2.409420839653209,scenario_parameter_not_estimate,True,False,False,"scenario input, not estimate"
0.25,0.5,1.0,scenario_parameter_not_estimate,False,False,False,"scenario input, not estimate"
0.25,0.75,0.5,scenario_parameter_not_estimate,True,False,False,"scenario input, not estimate"
0.25,1.0,0.0,scenario_parameter_not_estimate,True,False,False,"scenario input, not estimate"
0.5,0.1,6.578813478960583,scenario_parameter_not_estimate,False,True,False,"scenario input, not estimate"
0.5,0.25,2.409420839653209,scenario_parameter_not_estimate,False,True,False,"scenario input, not estimate"
0.5,0.5,1.0,scenario_parameter_not_estimate,True,True,True,"scenario input, not estimate"
0.5,0.75,0.5,scenario_parameter_not_estimate,True,True,True,"scenario input, not estimate"
0.5,1.0,0.0,scenario_parameter_not_estimate,True,True,True,"scenario input, not estimate"
0.75,0.1,6.578813478960583,scenario_parameter_not_estimate,False,False,False,"scenario input, not estimate"
0.75,0.25,2.409420839653209,scenario_parameter_not_estimate,False,False,False,"scenario input, not estimate"
0.75,0.5,1.0,scenario_parameter_not_estimate,False,True,False,"scenario input, not estimate"
0.75,0.75,0.5,scenario_parameter_not_estimate,True,True,True,"scenario input, not estimate"
0.75,1.0,0.0,scenario_parameter_not_estimate,True,True,True,"scenario input, not estimate"
1.0,0.1,6.578813478960583,scenario_parameter_not_estimate,False,False,False,"scenario input, not estimate"
1.0,0.25,2.409420839653209,scenario_parameter_not_estimate,False,False,False,"scenario input, not estimate"
1.0,0.5,1.0,scenario_parameter_not_estimate,False,True,False,"scenario input, not estimate"
1.0,0.75,0.5,scenario_parameter_not_estimate,True,True,True,"scenario input, not estimate"
1.0,1.0,0.0,scenario_parameter_not_estimate,True,True,True,"scenario input, not estimate"
